Ticker,Sector,1D %,1W %,1M %,3M %,1Y %
XLV,Health Care,2.2607303167658355,4.050074108977286,8.471687892963086,16.446011857512445,12.202965695398117
XLE,Energy,-0.6280111809947031,-2.690530434800098,0.37381268194136563,0.16381644451477495,-5.727438645022021
XLB,Materials,1.4909858594299052,2.677737377709555,-1.3038143713540173,-4.257514908198312,-4.281816223660606
XLP,Consumer Staples,1.3766202059659172,1.245135023958377,-1.4642812979485553,-2.6920168494406704,-1.149800637457743
XLF,Financials,1.252652791529174,2.2775978352539417,-1.4813442497714657,-1.984080952780154,6.262950585076932
SPY,S&P 500,0.9405947461920139,2.2633623279907145,-1.4914439975444838,4.679872731859014,15.085250488118596
XLC,Communication Services,1.1414926919232293,2.2269971805152666,-2.4411066242365775,3.155527569768335,19.08238666012867
XLI,Industrials,1.2799987792968759,1.381376030108239,-2.4841102021743167,-0.39330533551857894,9.641248123912472
XLU,Utilities,-0.38138414073549676,-0.45954231842605386,-3.0881731229849385,4.84029569447475,11.635994950128481
XLY,Consumer Discretionary,2.1399498959342678,3.964362537409527,-3.185667776770784,0.026379689130329176,9.487905518064888
XLRE,Real Estate,0.8056685508564643,1.1266202886201837,-3.392608109489126,-1.3862326076340525,-2.4118256326144394
XLK,Technology,0.2681348621471846,0.5124870738046683,-6.200671754154474,6.190359651579724,20.884619877133282
